2025-09-24 10:19:56 | WARNING  | __main__:run_forever:314 - 所有机器(2台)均已断开连接
2025-09-24 10:19:58 | ERROR    | modbus_client:connect:41 - 无法连接到PLC设备 139.155.173.66:61464
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:19:59 | ERROR    | system_monitor:start_monitoring:301 - PLC连接断开，尝试重新连接...
2025-09-24 10:19:59 | INFO     | modbus_client:reconnect:201 - 尝试重新连接PLC...
2025-09-24 10:20:01 | ERROR    | modbus_client:connect:41 - 无法连接到PLC设备 sk.yunenjoy.cn:61464
2025-09-24 10:20:26 | WARNING  | __main__:run_forever:314 - 所有机器(2台)均已断开连接
2025-09-24 10:20:29 | ERROR    | modbus_client:connect:41 - 无法连接到PLC设备 139.155.173.66:61464
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:20:31 | ERROR    | system_monitor:start_monitoring:301 - PLC连接断开，尝试重新连接...
2025-09-24 10:20:31 | INFO     | modbus_client:reconnect:201 - 尝试重新连接PLC...
2025-09-24 10:20:33 | ERROR    | modbus_client:connect:41 - 无法连接到PLC设备 sk.yunenjoy.cn:61464
2025-09-24 10:20:57 | WARNING  | __main__:run_forever:314 - 所有机器(2台)均已断开连接
2025-09-24 10:20:59 | ERROR    | modbus_client:connect:41 - 无法连接到PLC设备 139.155.173.66:61464
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:03 | ERROR    | system_monitor:start_monitoring:301 - PLC连接断开，尝试重新连接...
2025-09-24 10:21:03 | INFO     | modbus_client:reconnect:201 - 尝试重新连接PLC...
2025-09-24 10:21:05 | ERROR    | modbus_client:connect:41 - 无法连接到PLC设备 sk.yunenjoy.cn:61464
2025-09-24 10:21:27 | WARNING  | __main__:run_forever:314 - 所有机器(2台)均已断开连接
2025-09-24 10:21:30 | ERROR    | modbus_client:connect:41 - 无法连接到PLC设备 139.155.173.66:61464
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
2025-09-24 10:21:35 | ERROR    | system_monitor:start_monitoring:301 - PLC连接断开，尝试重新连接...
2025-09-24 10:21:35 | INFO     | modbus_client:reconnect:201 - 尝试重新连接PLC...
2025-09-24 10:21:38 | ERROR    | modbus_client:connect:41 - 无法连接到PLC设备 sk.yunenjoy.cn:61464
2025-09-24 10:21:58 | WARNING  | __main__:run_forever:314 - 所有机器(2台)均已断开连接
2025-09-24 10:22:00 | ERROR    | modbus_client:connect:41 - 无法连接到PLC设备 139.155.173.66:61464
2025-09-24 10:22:08 | ERROR    | modbus_client:read_holding_register:58 - PLC未连接
